Inspection Date,Zip,Failed
2021-04-20,60601,0
2024-10-30,60612,0
2024-10-30,60623,0
2024-10-30,60615,0
2021-04-21,60625,1
2021-04-22,60643,0
2024-10-30,60625,0
2021-04-26,60640,0
2021-04-29,60620,0
2021-04-30,60643,0
2021-05-04,60610,1
2021-05-05,60643,0
2021-05-05,60640,1
2021-05-05,60630,0
2024-10-30,60607,0
2021-05-06,60623,0
2021-05-07,60634,0
2021-05-07,60609,0
2021-05-11,60656,0
2021-05-14,60631,0
2024-10-30,60611,0
2021-05-21,60640,0
2021-07-26,60659,1
2024-10-29,60634,0
2024-10-29,60634,0
2021-07-26,60641,0
2021-07-26,60611,0
2021-07-26,60659,0
2021-07-30,60657,1
2024-10-29,60636,1
2024-10-29,60611,0
2021-08-12,60647,0
2021-08-12,60640,1
2021-08-13,60624,1
2024-10-29,60621,0
2024-10-29,60619,0
2024-10-29,60660,0
2024-10-29,60657,0
2024-10-29,60613,0
2021-08-18,60632,1
2021-08-19,60623,1
2021-08-20,60634,0
2021-08-20,60618,1
2021-08-23,60618,1
2021-08-26,60640,0
2024-10-29,60612,0
2024-10-29,60612,0
2024-10-29,60605,0
2021-09-02,60621,0
2021-09-09,60612,0
2021-09-14,60608,1
2021-09-15,60634,1
2024-10-28,60660,0
2024-10-28,60612,0
2021-10-15,60640,1
2021-10-21,60612,1
2021-11-22,60605,1
2024-10-28,60619,0
2021-11-22,60621,0
2021-11-24,60644,0
2021-11-23,60630,1
2021-12-01,60610,1
2021-12-09,60620,1
2024-10-28,60606,0
2021-12-15,60649,0
2021-12-16,60618,1
2021-12-17,60609,1
2021-12-23,60659,1
2024-10-28,60617,0
2022-01-06,60624,0
2024-10-28,60639,1
2024-10-28,60618,0
2022-01-07,60618,0
2022-01-19,60625,0
2024-10-28,60623,0
2024-10-25,60642,0
2024-10-25,60640,0
2022-03-21,60653,0
2022-03-24,60613,0
2024-10-25,60647,0
2022-03-25,60621,1
2022-03-29,60613,0
2022-04-01,60620,0
2024-10-25,60707,0
2022-04-11,60629,1
2022-04-13,60644,0
2022-04-14,60644,0
2024-10-25,60643,0
